dates,SKU,user_id,price,bought
2019-12-01,31656,22427,0,1
2019-12-01,29946,47017,1,0
2019-12-01,24848,30437,2,0
2019-12-01,59524,41824,3,0
2019-12-01,98346,26591,4,1
2019-12-01,74914,14888,5,0
2019-12-01,59010,38477,6,0
2019-12-01,15896,32515,7,1
2019-12-01,98503,42021,8,0
2019-12-01,32288,32935,9,0
2019-12-01,24456,17918,10,0
2019-12-01,71860,30479,11,0
2019-12-01,31911,27312,12,1
2019-12-01,53677,43142,13,1
2019-12-01,81681,12913,14,0
2019-12-01,79425,43374,15,0
2019-12-01,18314,17258,16,0
2019-12-01,15185,12679,17,1
2019-12-01,42231,20615,18,0
2019-12-01,35665,43777,19,1
2019-12-01,42892,17865,20,1
2019-12-01,11013,48394,21,0
2019-12-01,46933,27527,22,1
2019-12-01,53815,35027,23,0
2019-12-01,78354,19884,24,1
2019-12-01,37478,13545,25,1
2019-12-01,23543,32762,26,1
2019-12-01,89648,22778,27,0
2019-12-01,70400,37194,28,0
2019-12-01,16363,26379,29,0
2019-12-01,15143,15247,30,0
2019-12-01,74914,28960,31,0
2019-12-01,51103,36126,32,1
2019-12-01,71773,41185,33,1
2019-12-01,11379,30872,34,0
2019-12-01,19143,21768,35,1
2019-12-01,13979,13378,36,1
2019-12-01,77593,31378,37,0
2019-12-01,66695,21773,38,1
2019-12-01,48759,18447,39,0
2019-12-01,40005,37017,40,0
2019-12-01,40396,38189,41,1
2019-12-01,81807,17216,42,1
2019-12-01,53038,46204,43,1
2019-12-01,62163,27286,44,0
2019-12-01,81807,24970,45,1
2019-12-01,10947,43815,46,1
2019-12-01,55566,40745,47,1
2019-12-01,49801,13042,48,1
2019-12-01,57638,29258,49,0
2019-12-01,97863,43745,50,0
2019-12-01,60280,18013,51,1
2019-12-01,33110,36613,52,1
2019-12-01,40020,32919,53,0
2019-12-01,35645,42288,54,1
2019-12-01,89320,43947,55,0
2019-12-01,68972,42392,56,1
2019-12-01,46795,32806,57,0
2019-12-01,98008,16806,58,0
2019-12-01,27469,25439,59,0
2019-12-01,47855,44588,60,0
2019-12-01,94676,18150,61,1
2019-12-01,49321,15170,62,0
2019-12-01,77615,41656,63,1
2019-12-01,14987,35005,64,0
2019-12-01,61238,15908,65,1
2019-12-01,49688,12985,66,0
2019-12-01,55376,18375,67,1
2019-12-01,79425,37482,68,1
2019-12-01,83933,33992,69,1
2019-12-01,55133,23981,70,1
2019-12-01,97537,13578,71,1
2019-12-01,61041,27717,72,1
2019-12-01,16390,24216,73,0
2019-12-01,25121,40741,74,0
2019-12-01,93494,41694,75,0
2019-12-01,38958,20294,76,1
2019-12-01,13197,45184,77,1
2019-12-01,44959,26291,78,0
2019-12-01,13453,19425,79,0
2019-12-01,33562,21035,80,0
2019-12-01,40930,30522,81,0
2019-12-01,89052,19539,82,1
2019-12-01,39483,45134,83,0
2019-12-01,50551,35793,84,1
2019-12-01,37141,11356,85,1
2019-12-01,44011,23235,86,1
2019-12-01,10121,36382,87,1
2019-12-01,65894,14893,88,0
2019-12-01,19707,41001,89,0
2019-12-01,50388,36275,90,0
2019-12-01,84709,40518,91,1
2019-12-01,54815,25838,92,1
2019-12-01,97892,43593,93,0
2019-12-01,26819,19884,94,1
2019-12-01,17831,44071,95,1
2019-12-01,21389,32421,96,0
2019-12-01,35968,20871,97,0
2019-12-01,27051,29348,98,0
2019-12-01,56082,48064,99,1
2019-12-01,98346,43002,100,0
2019-12-01,68587,31717,101,1
2019-12-01,76127,45804,102,0
2019-12-01,60289,39215,103,1
2019-12-01,16805,33850,104,1
2019-12-01,42859,48343,105,1
2019-12-01,34952,15206,106,0
2019-12-01,70501,28439,107,1
2019-12-01,69057,11186,108,0
2019-12-01,28621,34259,109,1
2019-12-01,33950,39032,110,0
2019-12-01,18457,13882,111,0
2019-12-01,18966,44534,112,0
2019-12-01,69577,18187,113,1
2019-12-01,67941,32983,114,1
2019-12-01,70400,47586,115,0
2019-12-01,74550,40298,116,1
2019-12-01,74286,26323,117,1
2019-12-01,81603,10788,118,0
2019-12-01,50191,45545,119,0
2019-12-01,74865,44285,120,1
2019-12-01,26396,30953,121,1
2019-12-01,33880,18841,122,1
2019-12-01,87975,32596,123,1
2019-12-01,64404,42759,124,1
2019-12-01,78072,24541,125,0
2019-12-01,21691,20935,126,0
2019-12-01,16915,11867,127,1
2019-12-01,14632,27694,128,1
2019-12-01,44011,11755,129,1
2019-12-01,71650,21524,130,1
2019-12-01,18808,26381,131,1
2019-12-01,93494,24876,132,1
2019-12-01,45749,48861,133,1
2019-12-01,28967,15897,134,0
2019-12-01,84011,33171,135,1
2019-12-01,13155,44767,136,1
2019-12-01,59900,45361,137,0
2019-12-01,51103,38254,138,0
2019-12-01,60636,18096,139,0
2019-12-01,97082,30683,140,0
2019-12-01,48175,12461,141,0
2019-12-01,71683,42829,142,0
2019-12-01,69144,20663,143,1
2019-12-01,44011,23344,144,0
2019-12-01,28185,14808,145,0
2019-12-01,28687,34093,146,0
2019-12-01,38958,41071,147,0
2019-12-01,66602,13190,148,1
2019-12-01,68592,20439,149,0
2019-12-01,62532,49325,150,0
2019-12-01,48668,24419,151,1
2019-12-01,38156,28602,152,0
2019-12-01,43454,44321,153,0
2019-12-01,37310,42770,154,1
2019-12-01,35645,24854,155,1
2019-12-01,38664,23207,156,0
2019-12-01,52000,10904,157,0
2019-12-01,47065,26974,158,1
2019-12-01,80744,23171,159,1
2019-12-01,69977,19960,160,0
2019-12-01,10121,33836,161,0
2019-12-01,86171,12205,162,0
2019-12-01,39631,36712,163,0
2019-12-01,76011,38464,164,1
2019-12-01,87418,32555,165,1
2019-12-01,33562,48064,166,1
2019-12-01,26396,31236,167,0
2019-12-01,22272,13604,168,0
2019-12-01,11599,22675,169,0
2019-12-01,42859,20963,170,0
2019-12-01,38156,48271,171,1
2019-12-01,63273,43437,172,1
2019-12-01,32675,22447,173,0
2019-12-01,29946,10868,174,0
2019-12-01,79217,30208,175,0
2019-12-01,95557,16498,176,0
2019-12-01,67113,39188,177,1
2019-12-01,36167,19264,178,0
2019-12-01,70779,29371,179,1
2019-12-01,70972,35772,180,1
2019-12-01,14987,47751,181,1
2019-12-01,38004,11760,182,0
2019-12-01,63068,27032,183,1
2019-12-01,50101,38615,184,0
2019-12-01,97793,47670,185,0
2019-12-01,56252,43247,186,0
2019-12-01,31911,46357,187,0
2019-12-01,40369,41089,188,1
2019-12-01,38141,10676,189,1
2019-12-01,21691,45775,190,1
2019-12-01,26244,30025,191,1
2019-12-01,25121,45124,192,0
2019-12-01,10388,31247,193,0
2019-12-01,29760,10827,194,0
2019-12-01,35549,12378,195,1
2019-12-01,68475,45424,196,0
2019-12-01,53038,49286,197,0
2019-12-01,97793,36773,198,1
2019-12-01,53976,39647,199,0
2019-12-01,44959,19093,200,0
2019-12-01,76011,30042,201,1
2019-12-01,49363,10717,202,1
2019-12-01,94895,16838,203,0
2019-12-01,13979,20495,204,1
2019-12-01,76202,30632,205,0
2019-12-01,68592,29406,206,0
2019-12-01,24556,16879,207,1
2019-12-01,19004,39596,208,1
2019-12-01,83291,28741,209,0
2019-12-01,67113,21269,210,1
2019-12-01,39218,17959,211,0
2019-12-01,82401,14395,212,0
2019-12-01,93494,37830,213,1
2019-12-01,15850,31404,214,0
2019-12-01,32510,49895,215,0
2019-12-01,41069,24073,216,0
2019-12-01,11680,19484,217,1
2019-12-01,21516,22869,218,1
