SKU,mean_num_purchases_promo,mean_num_purchases_wo_promo
10334,11.977777777777778,9.980049875311721
17812,5.934782608695652,3.6136363636363638
36096,12.923076923076923,11.414634146341463
38767,10.222222222222221,9.0
43678,12.090909090909092,9.448275862068966
57561,9.727272727272727,8.05037783375315
64619,5.8,4.329896907216495
68211,13.11111111111111,11.459349593495935
69997,7.818181818181818,4.333333333333333
72784,9.133333333333333,6.953781512605042
83329,11.866666666666667,9.416974169741698
90611,6.903225806451613,4.993039443155452
98255,,7.593406593406593
